reviews,recommendation,location
This doctor is so to the point and focused and she asked all the right questions right from the go. Her tone is very accommodating. I am impressed.,I recommend the doctor,Bangalore
*** ** *** **** ****** ** ********** ***** She explains the issue in our body and tells us how to solve it rather than just prescribing medicine. I recommend her ,I recommend the doctor,Bangalore
 Doctor listened very patiently and explained everything. She advised me medicine. I got little releif. But overall my experience is good with doctor. Thanks Doctor,I recommend the doctor,Bangalore
such a wonderfull doctor who explains clearly *** *** **** * ***** **********I am perfectly alright now ..😊,I recommend the doctor,Bangalore
Even  after booking through practo we had to wait for other patients and they charged extra on top of it. Seriously I don't understand the need of booking through practo . I would never recommend this app to anyone. It's better to go directly and save some money.,I do not recommend the doctor,Bangalore
Wait time is more but Doctor will understand the problem and explain in detail.overall satisfaction is good.,I recommend the doctor,Bangalore
"*** ** *** *** ** **** ***** *** ************* *** ********* ****** **** *** ***she did explaine everything very well.***** **** ***** ****** *** ******* * *** **********Also i must tell the receptionist was the most unprofessional present over there..she thinks she is the doctor and treats patients very badlyI have nothing bad to tell about the doctor, i didn't get a good experience though with her..but they should teach that girl(receptionist)....how to talk to people.",I do not recommend the doctor,Bangalore
I have visited Dr. Uma twice and had very good experience on both the occasions. She is very friendly and clearly explains what the problems are. She doesn't recommend any unnecessary medicines or tests.,I recommend the doctor,Bangalore
"This is the first time we visited her. She was very adept at arriving at the right diagnosis. And she was excellent at explaining the same to us. She took the pain to explain us the medicines she gave and why that medicine compared to something else. Good expertise and great attitude. Now she is my favorite physician. Small clinic, nothing fancy, but reasonably well organized.",I recommend the doctor,Bangalore
Dr Uma is an excellent down to earth and very friendly doctor. We need more doctors like you who have the patience to explain the issues and treatment options very clearly to the patient. Half of the problem is solved for the patient with such a positive attitude and approach from the doctor. God bless you ,I recommend the doctor,Bangalore
"Dr. Uma explained the issue very well, I'm still under medication, waiting for full course to get over.overall experience was good.",I recommend the doctor,Bangalore
"Nice doctor ! And the way she explains the problem help and understand issue. Also, the waiting period is very less. I recomend the doctor *** **** **********",I recommend the doctor,Bangalore
Doctor is very friendly .She understood every problem and prescribe the right medicine and she is very caring,I recommend the doctor,Bangalore
"This was my second consultation with Dr Uma, and she was very helpful, just like the first time. She listens to your problems patiently and explains things very clearly, all while not taking a lot of time blasting difficult medical terms! 5/5 highly recommend for all in and around E City area. ",I recommend the doctor,Bangalore
"She was very friendly. I was worried and tensed, she examined and calmed me down. After examination, she referred me to a good gynecologist.She shared her personal number to contact in case of any requirement.",I recommend the doctor,Bangalore
"I had visited to Dr. Uma for chicken pox, got well treatment & advice. Overall experience was good with her.",I recommend the doctor,Bangalore
*** ** *** **** ****** ****** **** * *** ** ***. She is very friendly and you will feel better just by meeting her.,I recommend the doctor,Bangalore
Listened to our problem very carefully. Then she examined in detail. She gave very clear explanation and also advised why each medicine was suggested. ,I recommend the doctor,Bangalore
she is very ************* *** friendly..she is quick in understanding the problem. *** ** ****** **** **** *********,I recommend the doctor,Bangalore
She is simply fabulous!! She knows her patients very well. What type of medicines will suit them. She also makes patients understand well about the disease.,I recommend the doctor,Bangalore
Very good doctor with reasonable consultation fee. Doctor with patience and the response the doctor gives to patient was good and I recommend this doctor... with no second thought ,I recommend the doctor,Bangalore
Half the problem gets solved the way doctor speaks with us. She is definitely one among them. I recommend her.,I recommend the doctor,Bangalore
"A very descent doctor who actually listens, gives detailed explanation for the cause of disease. Thank you",I recommend the doctor,Bangalore
she is very nice doctor. she listens your problem carefully .tell you the cause of your problem. I had a viral fever .Got best treatment from this doctor. thank you mam,I recommend the doctor,Bangalore
She is very kind and explains the health issue very elaborately. Also suggests few home medications rather than prescribing medicines.  ,I recommend the doctor,Bangalore
"She is friendly and explained issue. Only problem is wait time. She should hire receptionist, that would help.",I recommend the doctor,Bangalore
"She is unique doctor in Bangalore, who is not support to use antibiotics tablets, less medtion is good for health her Moto.I'm full recommend to go the treatment, friendly and very polite",I recommend the doctor,Bangalore
*** **** ****** **** * **** She is very soft spoken and friendly. She listened the problem very carefully and patiently *** ******* **** ***** ,I recommend the doctor,Bangalore
"There are few doctors who allow you to talk and listen to you very patiently and take informed decision about the line of treatment,diagnosis and prognosis.Dr. Uma is one of those kind of doctor. I am hapy that I got the chance to interact with her and would definitely recommend her to others. ",I recommend the doctor,Bangalore
*** ** *** ** *** **** ****** * **** **** *** deals with patients and examine them with patience and faith.,I recommend the doctor,Bangalore
Dr Uma was very friendly and quickly got to the root  cause. Explained the line of treatment. Quite satisfied with the visit to Dr.,I recommend the doctor,Bangalore
She is a good doctor but too many medicines she had prescribed ***** *** ** ** ****But very friendly doctor.,I do not recommend the doctor,Bangalore
Dr. Uma is very professional and kind. She treats just like a family member. Thank you so much for all your help. ,I recommend the doctor,Bangalore
She is a great doctor and explains thoroughly after checking your problem and gives very minimal medicines,I recommend the doctor,Bangalore
"Doctor Uma is really very friendly doctor, she will explain the ailment in detail, makes one feel comfortable. ********** *** ****** ********** In the past I have gone for fissures, gum infection, mouth ulcers. She gave me antibiotics safe for pregnancy. Really good doctor.",I recommend the doctor,Bangalore
**** **** ********* *** doctor very much care abt patient. She listen our problem with patience. Thanks,I recommend the doctor,Bangalore
When I went I was having severe pain in my neck as a result of which I wasn't able to gulp my food or any liquid properly then she explained to me the whole matter properly and nicely about my health issue that it has all happened because of severe acidity problem. After taking the medicines recommended by her I got a big relief from that problem. Thank you Dr. Uma for patiently hearing me about my problem and helping me to get rid of it. And she is very cordial too.,I recommend the doctor,Bangalore
"She is a very good doctor.the most important thing is , she listens to the smallest of symptoms you have",I recommend the doctor,Bangalore
"She is a very good doctor and how  she explain is very clear. treatment is brilliant, my kid is very happy with her. ",I recommend the doctor,Bangalore
"She is very calm and patient.We have just started the treatment, so have to wait and see for the results.But overall good experience. ",I recommend the doctor,Bangalore
Dr uma pleasantly listens to the issues and tries to suggest less of medical prescription and more of natural cure.Happy with the visit. ,I recommend the doctor,Bangalore
She gives time to her patients and explain the problem. She gave proper reasoning of prescribing the medicines. ,I recommend the doctor,Bangalore
The doctor is very helpful and professional. Help me to understand the problem and prescribed medicine as required only.,I recommend the doctor,Bangalore
She spends time on patient and explains the health issue cause and medicines in detail. Explain the cause and how can be eliminated through diet as well,I recommend the doctor,Bangalore
Dr.Uma.M is  very friendliness best from my first visiti I was  blown away.feel very careD for every visit .Great experience I hope all doctors and clinics work the way these guys do.,I recommend the doctor,Bangalore
All was good except the fact Practo appointment is not a valid confirmation. You have to go and list down your name then wait for your turn to come.,I recommend the doctor,Bangalore
Dr.Uma is good doctor who listens the problems carefully and answers all the questions patiently. She also dont write unnecessary medicine .* **** ***** ***** ** *** ****** *** ******* ** *** ***** ** **** ** ** ****** ********,I recommend the doctor,Bangalore
doctor is good.  I have taken appointment and she has prescribed some medicine. next day I went to show some problem with tablets and reaction and allergy . she has agian taken consultion fees. that is really bad. at least the revisit should be valid for 5 days.and the queue is not happening according to appointment booked.rest looks good .. ,I recommend the doctor,Bangalore
went their for child vaccination. very happy with doctor friendliness and treatment.                ,I recommend the doctor,Bangalore
Explains the problem well and doesn’t prescribe antibiotics unless absolutely required                ,I recommend the doctor,Bangalore
Superb doctor. Very friendly.. solved my problem within 2hours.. she is good in explaining about problem and remedy in good manner. ,I recommend the doctor,Bangalore
very good experience and she explained detailed about the problem and given the proper dosage to cure the problem.,I recommend the doctor,Bangalore
"She handled very patiently, explaining the issue very clearly. Less you of medicine. Made the problem very easy to understand",I recommend the doctor,Bangalore
Doctor is really good. She explain what is reason of getting fever and cold. Overall she was good....,I recommend the doctor,Bangalore
,I do not recommend the doctor,Bangalore
Dr.Uma is very friendly and understanding and explains about the illness well. I'm happy with the service looking forward for a healthy relationship in further future. Will surely recommend my friends.,I recommend the doctor,Bangalore
"Very good,so friendly and satisfying solutions for the illness. Attitude towards the patient is appreciatable.",I recommend the doctor,Bangalore
Doctor was very friendly. Explained the problem well and did not give unnecessary medication. Nice experience. ,I recommend the doctor,Bangalore
I went for diabetes management. Doctor is indeed very good. She took time and explained everything. She answered all queries and did not give any unnecessary medicines or test.,I recommend the doctor,Bangalore
I take treatment for my son for wheezing cough.. She is always friendly with my son and prescribes apt medicines.. Very less antibiotics .. ,I recommend the doctor,Bangalore
"Dr has lots of patience, no waiting time, does not prescribe too many tablets. Very emphathetic towards patients.",I recommend the doctor,Bangalore
Really she is very nice & behaviour is like treating own family member.I am fully satisfied.wait time is very less.,I recommend the doctor,Bangalore
First she listen everything and dont give u any xtra medicine or tests if u have already within 4 months u have done. She tries to be freindly and give good advice to me in relation to the problem which i am facing...she told me not to worry n not to rake lot of medicine for that...i m as normal as others so stop meds n be free n calm n relax n do watever u wanna do...,I recommend the doctor,Bangalore
"Friendly nature,kind attitude towards patients ,appropriate medicines without heavy dosage,easy diagonises our health issues",I recommend the doctor,Bangalore
She is polite and able to understand the problem for quick solution. She also prescribed quality medicines,I recommend the doctor,Bangalore
"For the first time I have got a such doctor in Bengaluru, she took more than 15 minutes and explained the things. Very friendly, humble *** ************* ******* ",I recommend the doctor,Bangalore
" Dr Uma explained in detail the situation, concern and the treatment to be taken. What medicines are prescribed, reason for the same (purpose) and why certain medications are not prescribed. What specific precautions to be taken and under which situation to revisit immediately. She was very polite and friendly.",I recommend the doctor,Bangalore
,I recommend the doctor,Bangalore
"I was having mild fever from 4 days which was coming and going, she carefully and patiently listened to how i was feeling and and examined me. She later concluded that I was having throat infection and explained it well, also gave me very few medicines after which I felt better.Definitely recommend others to visit her.",I recommend the doctor,Bangalore
I like jessi clinic... Doctor is very friendly and give good explanations.... And staff is also very supportive... ,I recommend the doctor,Bangalore
She is very nice to the patients and she explains the problem very clearly.. Now a days finding these kind of good doctors who spend time with patients and listen to their problems is difficult.,I recommend the doctor,Bangalore
The doctor is quite friendly and will listen to your problems without getting agitated.I am satisfied with the treatment.,I recommend the doctor,Bangalore
She handled my health issue with care and also suggested few things for my kid health related doubts much appreciated,I recommend the doctor,Bangalore
