reviews,recommendation,location
"Dr Amarpreet treats illness from roots, I got completely cured for my typhoid fever, and that too with low dose of antibiotics, he is very friendly to talk to and listens to every problem of the patient, I get complete satisfaction from his treatment.",I recommend the doctor,Delhi
"I am really thankful to you Sir,for the miracle you did to me yesterday. I am perfectly alright with your medication in a day.I was expecting 3-4 days..Big Thank you 😊🙏🏻.",I recommend the doctor,Delhi
Very nice experience. *** ********* ** ****** ** **** feeling much better after his treatment thank you ,I recommend the doctor,Delhi
It was a good experience   Doctor is very good and help u in understanding the disease better and to fight it in a better way. He gives u ample time too,I recommend the doctor,Delhi
We are very happy with the course of action suggested by the doctor. My wife was suffering from typhoid fever and the doctor patiently listened to all our issues and advised a logical plan of action which helped her heal fully.,I recommend the doctor,Delhi
"Nice Doctor , well treat with patient and listen carefully patient problem and than give precaution as per as patient required.....",I recommend the doctor,Delhi
exigent doctor in ever department full faimaly care best in their services and staff of clinic is good ,I recommend the doctor,Delhi
*** ***** ***** * *** *********** *** **** **** ********* **** **** * ****** ********* ****** ** ******The medicines he had given *** ** ******* Couldn't taste food properly for a while... Consulted an other doctor *** **** ** **** *** **** *** ********* ** *** ***** *** ** ****** ******* *** ******* Checked up for typhoid and other related issues... Paid a hefty fees of 14k ,I do not recommend the doctor,Delhi
Doctor is very professional but friendly.  He listen your problems patiently and give u the **** treatment.  Highly recommend. ,I recommend the doctor,Delhi
He explained the entire situation as a lay man could understand. He did not scare me with medical terms and tests,I recommend the doctor,Delhi
,I do not recommend the doctor,Delhi
"Dr Amarpreet Singh Riar is a well known physician in dwarka,Delhi, His way of treatment is fantastic. He solve the queries of patient in a good way. And my experience was very good. I will give 5*star  out off 5.",I recommend the doctor,Delhi
"**** *** * ********. Sir  as i heared from my childhood that ""Doctors are the another form of God""my wife(Priyanka) suffer from dengue and she was feeling that she can't survive but only in two sitting she feels much2 better by your medicine..seriously you are genius sir.. from the bottom of my heart a great thanks to you..regardsAdesh Bhardwaj ",I recommend the doctor,Delhi
"Overall a happy experience, in terms of appointment, environment, doctors interaction and meditation ",I recommend the doctor,Delhi
My treatment is just going on and it's Nice experience. I am Extremely Satisfied .Doctor and staff both are very cooperative .,I recommend the doctor,Delhi
Very experienced doctor.  don't advise for unnecessary test. cleared guidelines for recommended food on prescription. totally satisfied. ,I recommend the doctor,Delhi
"I Vijay , 16 years old from Uttrakhand , I suffering with continuing mucus , sometime difficulties in breathing and chest pain , cold even in summer days. I recommend the Dr. Amanpreet ji for their treatment. I recover from my diseases within few days , also the Dr. behaviour was very good , friendly , polite. ",I recommend the doctor,Delhi
Highly Recommend The Doctor To all of U Guys... Just Feeling Awesome Within Hour.. U feel The Magic... thank U Very Much Sir.... ,I recommend the doctor,Delhi
"I recommend d doctor my wife and my daughter got very bad cold cough fever,i guess for viral fever and i went first time  to dis doctor gr8 experience he listened properly d problems and gave  medicine which was not tht much cost and with in 2 days they got relief from sickness..doctors r god for us that's true my wife was pregnant but he gave medicine according to d situation which was not effected to her pregnancy..thanks doctor amanpreet singh ji ",I recommend the doctor,Delhi
I have visited one time for Stomach problems and second time for Stomach as well as cough and cold but doctor is totally denying fact that i visited second time for stomach problems.***** ** ** *********** ** ** *******also revisiting Time is 24 hours which is totally wrong because no person do improvement on health problems in 24 hours.this way they are charging revisiting charges when i talked to doctor he is totally denying from that fact that i discussed stomach problems with him.i am really disappointed with this behaviour and treatment.,I do not recommend the doctor,Delhi
"Nice experience. No such wait time.**** medicine, worked very fast.Very friendly and well explained.",I recommend the doctor,Delhi
"Everything was fine, doctor was very friendly  and cooperative. Only clinic location is not good.Overall i recommend this. ",I recommend the doctor,Delhi
"Dr Riar is very patient friendly dr ,his treatment style also High quality,he is going to root cause of the deseas.",I recommend the doctor,Delhi
