reviews,recommendation,location
"Dr Sanjiv Shah is a very intelligent, thoroughly professional endocrinologist and a doctor divine. He has been treating me for my hypothyroidism condition from  past 10 years. He has also been a saviour to me by correcting my  wrong diagnosis of autoimmune disease and sending me to the right professional person for guidance. I am extremely satisfied with his medical aid ,very kind and friendly attitude and right instructions for all my doubts in all my visits. I strongly recommend him for any endocrinolgical disorder. May he heal one and all with his divine touch.God bless him.",I recommend the doctor,Mumbai
Doctor is result oriented and I am very satisfied with his treatment. He is excellent in his profession. ,I recommend the doctor,Mumbai
Dr Sanjiv Shah is a renouned diabatologist and he was very approachable and very understanding *** ************* about our current problem . *** ********* ** **** *** **** ******** * And helped personally to put us in a regular program to attain better results. Last but not the least his Assistant Dr Trupti was excellent in charting out a diet programme for us and explained all the technicalities of the way of taking insulin and very patient and friendly to each one of us . Thank you ,I recommend the doctor,Mumbai
"I only trust him with my thyroid treatment , experienced and calm as always ,  I definitely recommend him ",I recommend the doctor,Mumbai
Dr Sanjiv Shah was very friendly.He explained everything in details.He was very Humorous too.Rarely come across such senior medical practitioners who are so friendly.,I recommend the doctor,Mumbai
Dr. Sanjiv Shah's gives sufficient time to narrate the problems faced by patient and guides patient to achieve the desired results. He makes patient feel at home while checking the various parameters.,I recommend the doctor,Mumbai
Doctors wife checked me out and Dr. Sanjiv wrote out d medication. Very brief interaction but felt satisfied,I recommend the doctor,Mumbai
Dr Sanjeev Shah was very kind and friendly. He firstly took time to listen me and understood the problem and gave me the right guidance and medicine prescription. I have full hope that his treatment will definitely cure me. I strongly recommend him for such medical problems.,I recommend the doctor,Mumbai
Very bad experience because there was no appointment .And they said we don't entertain online company. So Pls stop put this doctor reference. I have to wait 5 hours. ,I recommend the doctor,Mumbai
Very experienced and listens very patiently. Explains line of treatment properly. Not rushed at all.,I recommend the doctor,Mumbai
"In just 5 days of Dr. Jonwals NapAyurveda treatment i got excellent results, my 5 years sufferings of Colitis, IBS, GERD, Indigestion, Giddiness, Hairfall, nightfall, Severe weakness, whole left side body swelling , numbness & giddiness are reduced by 50%. I had been to many specialist & gastroenterologist doctors but no result. Highly recommended. I was gone into deep depression, I lost my job, even I was thinking to cancel my marriage. But thanks to Dr. Laxman Jonwal & Just dial too for reference. Hoping for 100% recovery soon. Highly recommended, people must visit once before your diseases, its complications & your sufferings are increased.",I recommend the doctor,Mumbai
"Uncontrolled Diabetes, Severe Weakness, Tremors, Cramps & Tingling sensation all over body. I got tremendous result in 2 weeks only. My allopathy medicines dose has reduced to ¼ . My waist size has reduced & can use my old pants. Thanks to Dr. Laxman Jonwal & his team. I strongly recommend for Diabetes & its chronic complication ",I recommend the doctor,Mumbai
"I have got very good results in 25 days & size of Varicoceles has reduced more 80 % - pain also gone. My childhood acidity, Gastritis & Belching is totally gone. Thanks to NapAyueveda & Dr Laxman Jonwal, MD Mumbai.",I recommend the doctor,Mumbai
"My Chest pain, Breathlessness, Chest Congestion, Left hand pain & Restlessness after food are gone in just 7 days NAP Ayurveda treatment by Dr. Laxman Jonwal. Big thanks for this big relief. My relative Mr. Yaseen Shaikh who already recovered from blockages without operation last year has referred me & thanks to him also. I was diagnosed with the Blockages – Triple Vessel Disease & my 2D Echo reports shows hypokinesia of Inferior wall. & advised for urgent Bypass. People must take advantage of NAP Ayurveda treatment to cured blockages without operation. It is a best option than angioplasty & bypass surgery. ",I recommend the doctor,Mumbai
"My Gall bladder stone, pain in abdomen,  acidity and mouth ulcers are gone in 1 month. Thanks for fast results. People must try NapAyurveda before gall bladder stone surgery.",I recommend the doctor,Mumbai
"I was suffering from Vertigo, GERD, Giddiness, Acidity, Burning, Chest Pain & Weakness from last 5 years. Had been too many specialist doctors in Andhra & Mumbai. On 11th July, 2019 started treatment at Dr. Laxman Jonwals Hospital, ****** ** **** ************** he explains me everything in detail about my all diseases. Today I got excellent results around 95 -100 %, my all problems are almost gone. Every chronic disease patient must visit atleast 1 time. Thanks to Dr. Laxman Jonwal. ",I recommend the doctor,Mumbai
Doctor is very friendly.I am pretty satisfied . Moreover the price of the medicine is high .. overall he was very experience doctor must say .,I recommend the doctor,Mumbai
